Alewife,327,231
Davis,373,231
Porter Square,440,242
Harvard Square,482,283
Central Square,520,320
Kendall/MIT,562,362
Charles/MGH,601,402
Park Street,630,431
Downtown Crossing,669,468
South Station,714,514
Broadway,723,565
Andrew,724,609
JFK/UMass,724,653
Savin Hill,698,684
Fields Corner,669,721
Shawmut,669,750
Ashmont,669,780
Cedar Grove,669,808
Butler,651,842
Milton,619,842
Central Avenue,588,842
Valley Road,556,843
Capen Street,527,842
Mattapan,495,843
North Quincy,819,828
Wollaston,858,866
Quincy Center,896,905
Quincy Adams,935,942
Braintree,947,1028
Oak Grove,669,98
Malden Center,669,132
Wellington,669,172
Sullivan Square,669,217
Community College,669,261
North Station,676,312
Haymarket,708,359
State,707,430
Downtown Crossing,669,468
Chinatown,634,503
New England Medical Center,610,527
Back Bay,590,547
Massachusetts Avenue,570,566
Ruggles,552,586
Roxbury Crossing,533,606
Jackson Square,511,625
Stony Brook,494,645
Green Street,473,664
Forest Hills,453,684
Lechmere,607,263
Science Park,646,303
North Station,666,321
Haymarket,693,359
Government Center,670,392
Park Street,631,430
Boylston,603,459
Arlington,570,471
Copley,540,471
Hynes Convention Center,509,472
Kenmore,483,471
Blandford Street,463,452
Boston University East,456,444
Boston University Central,446,437
Boston University West,438,427
St. Paul Street (1),430,420
Pleasant Street,419,411
Babcock Street,407,409
Packards Corner,395,410
Harvard Avenue,347,415
Griggs Street/Long Avenue,339,421
Allston Street,332,430
Warren Street,322,437
Washington Street,313,447
Sutherland Street,304,453
Chiswick Road,293,455
Chestnut Hill Avenue,279,454
South Street,269,444
Boston College,236,413
St. Marys Street,437,471
Hawes Street,423,471
Kent Street,413,472
St. Paul Street (2),403,471
Coolidge Corner,392,471
Summit Avenue,380,471
Brandon Hall,367,471
Fairbanks,355,471
Washington Square,345,471
Tappan Street,334,471
Dean Road,322,471
Englewood Avenue,311,471
Cleveland Circle,294,471
Fenway,436,490
Longwood,410,516
Brookline Village,388,539
Brookline Hills,340,539
Beaconsfield,310,505
Reservoir,282,484
Chestnut Hill,253,479
Newton Center,227,477
Newton Highlands,200,479
Eliot,177,478
Waban,151,477
Woodland,125,478
Riverside,88,479
Prudential,511,525
Symphony,501,535
Northeastern University,492,543
Museum of Fine Arts,484,554
Longwood Medical Area,475,562
Brigham Circle,468,570
Fenwood Street,457,577
Mission Park,453,586
Riverway,451,601
Back of the Hill,451,612
Heath Street,451,629
Wonderland,1013,123
Revere Beach,979,157
Beachmont,951,187
Suffolk Downs,923,215
Orient Heights,894,244
Wood Island,864,273
Airport,836,301
Maverick,807,331
Aquarium,744,394
State,708,429
Government Center,670,392
Bowdoin,641,362
